studentId,firstName,lastName,birthDate,email,contactNo
1C001,Ohilesh,G,10-2-2005,ohileshgr1@gmail.com,9836746488
1C002,Niranjan,Patel,2006-01-01,niranjan@gmail.com,9756867848
1C003,Vishal,Raj,2004-07-09,vishalraj@gmail.com,8736583749
1C004,Inthiyaz,S,2007-09-04,inthiyazs@gmail.com,9873546280
1C005,Anjali,S,2006-08-01,anjalis@gmail.com,8943852840
1C006,Shreya,N,2005-05-07,shreyan@yahoo.com,6345783455
1C007,MD,ARIF,1998-08-10,mdarif@gmail.com,9019784193
1C008,Pawan,R,2008-09-18,pawanr@gmail.com,9756864000
1C009,Pawan,R,2008-12-28,pawankr@gmail.com,9756865000
2C001,Pn,Rao,2007-01-15,pnrao@cqod.in,9095911978
